Words,Definition,Star
Abate,To decrease; reduce,
Abdicate,"To give up a posiiton, right, or power",
Aberrant,Deviating from what is normal,Y
Abeyance,A temporary suppression or suspension,Y
Abject,Miserable; pitiful,
Abjure,To reject; abandon formally,
Abscission,The act of cutting; the natural seperation of a leaf or other part of a plant,
Abscond,To depart secretly,
Abstemious,Moderate in appetite,Y
Abstinence,The giving up of certain pleasures,
Abysmal,Very bad,
Accretion,Growth in size or increase in amount,
Accrue,To accumulate; grow by additions,
Adamant,Uncompromising; unyielding,
Adjunct,"Something added, attached, or joined",
Admonish,To caution or reprimand,
Adulterate,To corrupt or make impure,
Aesthetic,Relating to beauty or art,Y
Affected,"Pretentious, phony",
Affinity,Fondness; liking; similarity,
Aggrandize,To make larger or greater,
Aggregate,Amounting to a whole; total,
Alacrity,Cheerful willingness; eagerness; speed,Y
Alchemy,Medieval chemical philosophy based on chaning metal into gold; a seemingly magical power or process of transmutation,
Allay,To lessen; ease; soothe,
Alleviate,To relieve; improve partially,Y
Alloy,A combination; a mixture of two or more metals,
Allure,The power to entice by charm,
Amalgamate,To combine into a unified whole,Y
Ambiguous,Unclear or doubtful in meaning,Y
Ambivalence,The state of having conflicting emotional attitudes,Y
Ambrosia,Something delicious; the food of the gods,
Ameliorate,To improve,Y
Amenable,Agreeable; cooperative; suited,
Amenity,Something that increases comfort,
Amulet,Ornament worn as a charm against evil spirits,
Anachronism,Something out of the proper time,Y
Analgesic,Medication that reduces or eliminates pain,
Analogous,Comparable,Y
Anarchy,Absense of government; state of disorder,Y
Anodyne,Something that calms or soothes pain,
Anomalous,Irregular; deviating from the norm,Y
Antecedent,Something that comes before,
Antediluvian,Prehistoric,
Antipathy,Dislike; hostility,Y
Apathy,Indifference,Y
Apex,The highest point,
Apogee,The point in an orbit most distant from the body being orbited; the highest point,
Apothegm,"A terse, witty saying",
Appease,To calm; pacify; placate,
Appeallation,Name,
Apposite,Strikingly appropriate and relevant,
Apprise,To inform,Y
Approbation,Praise; approval,Y
Appropriate,To take possession for one's own use; confiscate,Y
Apropos,Relevant,
Arabesque,Ornate design featuring intertwined curves; a ballet position in which one leg is extended in back while the other supports the weight of the body,
Archeology,The study of material evidence of past human life,
Ardor,Great emotion or passion,
Ardous,Extremely difficult; laborious,Y
Argot,A specialized vocabulary used by a group,
Arrest,To stop; to seize,
